runType,runIndex,seed,totalFiles,passedFiles,failedFiles,skippedFiles,totalTests,passedTests,failedTests,skippedTests,duration,failureClass,timeoutBudget,observedDuration,openHandles,notes
default,1,,447,438,0,9,2195,2105,0,90,45.70,PASS,,,0,final architecture
default,2,,447,438,0,9,2195,2105,0,90,38.54,PASS,,,0,final architecture
default,3,,447,438,0,9,2195,2105,0,90,36.28,PASS,,,0,final architecture
default,4,,447,438,0,9,2195,2105,0,90,36.77,PASS,,,0,final architecture
default,5,,447,438,0,9,2195,2105,0,90,36.37,PASS,,,0,final architecture
shuffle,1,21101,447,438,0,9,2195,2105,0,90,44.64,PASS,,,0,final architecture
shuffle,1,21102,447,438,0,9,2195,2105,0,90,40.21,PASS,,,0,final architecture
shuffle,1,21103,447,438,0,9,2195,2105,0,90,39.17,PASS,,,0,final architecture
